"A","N","H","G","V","DW","Dq","Vpulp","Vchns","Vsaw","Gpulp","Gchns","Gsaw","Remove.Plp","Remove.ChnS","Remove.Saw"
18,709.800465129309,63.5316011703424,191.522876066035,4618.82647961614,61.0951869754213,7.03371263073403,2370.55590552021,1783.15029698586,317.406753547671,51.485511073017,38.7277955126617,6.89367792861349,0,0,0
19,700.459128715873,66.0417039352602,198.414616074205,4949.62112796182,66.7133948414875,7.20672356762248,2197.95773542273,2135.28570593669,474.374096235003,47.7368945662123,46.3757364258124,10.302812402604,0,0,0
20,691.281337999809,68.4956740075283,204.988893078202,5277.19635954688,72.3737987476353,7.37361031441098,1977.61691056509,2497.01852513357,665.843841131985,42.9513672763356,54.2321210927448,14.4612959245853,0,0,0
21,682.261708400074,70.8958875646531,211.269316888791,5601.3979986849,78.0662819040804,7.53503282426433,1715.3076525755,2864.81595331225,889.473744948951,37.2543380793741,62.2202214860005,19.31825789811,0,0,0
22,673.395250669205,73.2445137341892,217.276558922752,5922.10728365518,83.7820800393066,7.69154961715582,1416.91743028558,3235.92316360133,1142.05644274787,30.773675439015,70.2802062094664,24.8040383659304,0,0,0
23,664.677321300962,75.54354290516,223.028837142914,6239.23272191026,89.51355208784,7.84363747346682,1088.1498376754,3608.20643924912,1419.96728116068,23.6332542870126,78.3657336024418,30.8399143877085,0,0,0
24,656.103581334419,77.7948100094582,228.542307074271,6552.70410972771,95.2539980065907,7.99170662512569,734.328774480439,3980.02119961248,1719.48763514289,15.948703070747,86.4410854290836,37.3451220757595,0,0,0
25,647.669961822181,80.0000138448115,233.83137903645,6862.46808450236,100.997512741425,8.13611261045078,360.288573048818,4350.10515943069,2037.01832119396,7.82501744590401,94.4788464313853,44.2414916634313,0,0,0
26,639.372634644907,82.1607332483388,238.908977143888,7168.48477573044,106.738868154935,8.27716562506083,0,4717.49367460166,2369.20733568272,0,102.458065745255,51.456221821859,0,0,0
27,631.207987657177,84.2784407391999,243.786752099152,7470.72525286725,112.473416761515,8.41513797119779,0,5081.45347323336,2713.01593273988,0,110.362817621787,58.9233147891942,0,0,0
28,623.172603374175,86.3545141086415,248.475257109394,7769.16955763354,118.19701260946,8.55027004696811,0,5441.43111481179,3065.74301661068,0,118.181082024819,66.5841061420133,0,0,0
29,615.263240576972,88.3902463312367,252.984094196881,8063.80516957005,123.905945753353,8.68277520299682,0,5797.01302498935,3425.02299049229,0,125.903876636487,74.3872180747543,0,0,0
30,607.476818342073,90.3868540922944,257.322036598953,8354.62579606673,129.596887581144,8.81284371213278,0,6147.89453119458,3788.80786697878,0,133.524584349382,82.2881708609453,0,0,0
31,599.810402098905,92.3454851663111,261.497131743011,8641.63040781761,135.26684487582,8.94064603837042,0,6493.85585725637,4155.34100238532,0,141.038431899787,90.2488123955563,0,0,0
32,592.261191394969,94.2672248350483,265.516788349281,8924.82246169848,140.913120956389,9.06633554745684,0,6834.7434848987,4523.12726757249,0,148.442085062644,98.2366703425901,0,0,0
33,584.826509107811,96.1531014978214,269.387850491321,9204.20926811243,146.533282596377,9.19005076921077,0,7170.45565233841,4890.90266503001,0,155.733333699225,106.224292256121,0,0,0
34,577.503791889855,98.0040915983625,273.116660881173,9479.80147071255,152.125131688947,9.31191729725485,0,7500.93104486405,5257.6051711206,0,162.910846130641,114.188612310276,0,0,0
35,570.29058166947,99.8211239702973,276.709115205186,9751.61261432164,157.686680836685,9.43204939345479,0,7826.13995257466,5622.34776722895,0,169.973977094981,122.110365569504,0,0,0
